id,split,fecha,anio,origen_pdf,fragmento,label,anotador,origen_flags,has_VERBO,has_KEYWORD,has_NORMAR,bucket
20180102-p124-s000-e003-haddf1dd3,train,2 01 2018,2018,20180102.pdf,"Que la Dirección General de Interpretación Urbanística ha tomado intervención de acuerdo a la normativa vigente, mediante la Disposición N° 1512/DGIUR/2017 de fecha 28 de noviembre de 2017, visando desde el punto de vista del patrimonio urbano, las Obras objeto de esta Licitación, para el inmueble sito en la calle Pío Collivadino N° 470, denominado Escuela Técnica N° 8 DE 13 ""Paula Albarracín de Sarmiento""; Que, la Dirección General de Infraestructura Escolar de este Ministerio, ha emitido un informe técnico con fecha 29 de noviembre de 2017, en el que especifica que, de acuerdo con el Cuadro A - Actividades Especiales del Anexo II, del Decreto 222/GACBA/12; el Proyecto de Ampliación y Refacción en el Edificio de la Escuela Técnica N° 8 D.E. 13° sita en Pío Collivadino 436/90, califica en los términos de la Ley 123 como ""SIN RELEVANTE EFECTO"", sin necesidad de declaración expresa de la autoridad de aplicación (conf.art.9 inc.b) de la Ley 123, art. 3, del Anexo I del Decreto N° 222/GCBA/12, y Resolución N°171/APRA/2017); Que la presente licitación se enmarca en lo previsto en el Acta suscripta el 23 de febrero de 2017 entre el Instituto Nacional de Educación Tecnológica del Ministerio de Educación y Deportes de Nación y Ministerio de Educación de la Ciudad Autónoma de Buenos Aires registrada bajo el código RE -2017-02825143 del sistema de Gestión Documental Electrónica (GDE) la cual resulta ampliatoria del Acta complementaria Nº 1116/12 del Convenio Marco de Cooperación Nº 21/16; Que la Dirección General de Coordinación Legal e Institucional ha tomado intervención en el marco de su competencia; Que la Procuración General de la Ciudad de Buenos Aires ha tomado la intervención que le corresponde atento las atribuciones conferidas por la Ley Nº 1.218 (texto consolidado por Ley 5666). Por ello, en razón de lo normado por el Decreto Nº 203/GCBA/16, EL SUBSECRETARIO DE GESTIÓN ECONÓMICO FINANCIERA Y ADMINISTRACIÓN DE RECURSOS RESUELVE Artículo 1.- Aprobar la Licitación Pública N° 1052-SIGAF- 17 (39-16) y adjudicar a la firma Kion S.A.I.C.",0,Juan,VERBO;NORMAR,1,0,1,VERBO;NORMAR
20180102-p001-s004-e008-h40bf789b,train,2 01 2018,2018,20180102.pdf,Ley N° 5920 Se crea el Sistema de Autoprotección de aplicación obligatoria en el ámbito de la Ciudad Autónoma de Buenos Aires.,1,Juan,VERBO;KEYWORD;NORMAR,1,1,1,VERBO;KEYWORD;NORMAR
20180102-p248-s000-e002-hf003a038,train,2 01 2018,2018,20180102.pdf,"Que mediante la Disposición N° 113/AGIP/16 se aprobó la prorroga de los servicio prestado por el proveedor CETINE S.A., en el marco de la Licitación Pública N° 8618- 1393-LPU15 destinada a la contratación del servicio de mantenimiento preventivo y correctivo de 7 (siete) ascensores y 1 (una) plataforma elevadora para discapacitados en los edificios de la AGIP, sitos en las calles Viamonte Nº 900, Esmeralda Nº 638 y Cochabamba Nº 1672, de esta C.A.B.A, por un periodo de 12 (doce) meses, a través del sistema Buenos Aires Compras (BAC); Que la prorroga antedicha fue materializada en la orden de compra N° 8618-11775- OC16 en favor del mencionado proveedor, por un monto total de $ 604.410,00.- (pesos seiscientos cuatro mil cuatrocientos diez); Que a través del Sistema BAC se proc edió a registrar el proceso de compra N°8618- 3334-CME17 para una nueva contratación adecuada a las actuales necesidades de los edificios de AGIP, por lo que resulta necesario contar con 2 (dos) meses de prorroga adicional a fin de disponer de los servicios aludidos, sin interrumpir la prestación hasta tanto se adjudique el nuevo proceso licitatorio; Que mediante NO -2017-27966538-AGIP y NO -2017-28998855-AGIP, se solicito a la Dirección General de Compras y Contrataciones la autorización de la habilitación d e la prórroga del servicio, en los términos del Artículo 119 punto IV) de la Ley Nº 2.095 (Texto Consolidado por Ley N° 5.666); Que la Dirección General de Compras y Contrataciones mediante NO-2017-28362751- DGCYC y NO-2017-29113951-DGCYC, presto su conformidad; Que mediante el sistema Buenos Aires Compras se ha dado ingreso a la misma bajo el proceso N° 8618-0277-PRO17 a los fines de implementar la mencionada prórroga del servicio de mantenimiento por un periodo de 2 (dos) meses, por un total de $ 100.735,00.- (pesos cien mil setecientos treinta y cinco), con un precio mensual equivalente al valor del contrato original; Que en consecuencia se procedió a efectuar la afectación presupuestaria por la suma anteriormente mencionada; Que en virtud de los tér minos de la Ley Nº 2.095 (Texto Consolidado por Ley N° 5.666), el Anexo II del Decreto N° 326/GCABA/17 y conforme a lo establecido en la Resolución N° 343/AGIP/13, el suscripto se encuentra facultado para aprobar la presente prorroga. Por ello, EL SUBDIRECTOR GENERAL DE LA SUBDIRECCION GENERAL TECNICA ADMINISTRATIVA Y DE GESTION OPERATIVA DE LA ADMINISTRACION GUBERNAMENTAL DE INGRESOS PUBLICOS DISPONE Artículo 1°.- Apruébase la prórroga N° 8618-0277-PRO17 de la Licitación Pública N°8618-1393-LPU15 destinada a la contratación del servicio de mantenimiento preventivo y correctivo de 7 (siete) ascensores y 1 (una) plataforma elevadora para discapacitados en los edificios de la AGIP, sitos en las calles Viamonte Nº 900, Esmeralda Nº 638 y Cochabamba Nº 1672, de esta C.A.B.A, por un período de 2 (dos) meses y por la suma total de $100.735,00.- (pesos cien mil setecientos treinta y cinco), a favor del proveedor CETINE S.A.. Artículo 2°.- Autorízase a la Dirección Administración mediante el Departamento Compras y Contrataciones a emitir la correspondiente Orden de Compra a favor del mencionado oferente, de conformidad con lo dispuesto en el artículo precedente.",0,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p463-s000-e004-hbcc3c393,train,2 01 2018,2018,20180102.pdf,"MINISTERIO DE DESARROLLO URBANO Y TRANSPORTE D.G. HABILITACION DE CONDUCTORES Y TRANSPORTE Intimación - E.E. N° 16.700.817/MGEYA/DGHCT/17 Intímese al Sr. BALLETTI HECTOR ALFREDO en su carácter de licenciatario del Servicio Público de Automóviles de Alquiler con Taxímetro N° 6246 a regularizar la situación de la habilitación dentro de los treinta (30) días de publicado el presente Edicto, en el marco de lo dispuesto por el art. 12.11.5.2, de la Ley Nº 3.622, que establece : “En el caso de no poder ser notificado en el domicilio denunciado, no haber dado cambio de domicilio, o ser desconocido, la Autoridad de Aplicación podrá determinar la baja de la Licencia, cuando corresponda la misma, previa publicación en el Boletín Oficial de la Ciudad Autónoma de Buenos Aires“. Conforme lo cual deberá presentarse en la Gerencia Operativa de Registro de Transporte y Verificación Técnica, sita en la Avda. Cnel.",0,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p463-s000-e004-hbcc3c393,train,2 01 2018,2018,20180102.pdf,"Artículo 1°.- Créase el Sistema de Autoprotección de aplicación obligatoria en el ámbito de la Ciudad Autónoma de Buenos Aires. El Sistema de Autoprotección consiste en un conjunto de acciones y medidas destinadas a prevenir y controlar los riesgos sobre las personas y los bienes, para proporcionar una respuesta adecuada a las posibles situaciones de emergencia.",1,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p028-s005-e010-hca0ab77c,train,2 01 2018,2018,20180102.pdf,"Por cada solicitud de evaluación de Sistemas de Autoprotección y cada Simulacro establecido en el artículo 4° inciso h), el Gobierno de la Ciudad Autónoma de Buenos Aires cobrará una contribución conforme lo estipule la Ley tarifaria vigente. Art. 10.- Incorporase al artículo 83 bis del Anexo I de la Ley tarifaria vigente los siguientes incisos: “3. Aranceles por evaluación de Sistemas de Autoprotección 3.1 Solicitud de evaluación de Sistemas de Autoprotección $ 600,00 3.2 Solicitud de evaluación de simulacro $ 300,00.“ Art. 11.- Toda infracción en la que incurran los profesionales al momento de su inscripción y/o renovación en el Registro, a las disposiciones de esta Ley, su reglamentación y normas complementarias que en su consecuencia se dicten, será reprimida por la autoridad de aplicación con las siguientes sanciones: a) Apercibimiento b) Multa de $5.000,00 hasta $50.000,00 c) Suspensión de la inscripción en el Registro d) Cancelación de la inscripción en el Registro Estas sanciones se aplicarán con prescindencia de la responsabilidad civil, penal, contravencional o de faltas que pudiera imputarse al infractor. Art.",1,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p280-s010-e013-ha70171c1,train,2 01 2018,2018,20180102.pdf,"VISTO: El Expediente Nº 8.901.667/2017 por el que se consulta sobre la factibilidad de localizar los usos ""Restaurante, Cantina, Café, Bar, Despacho de bebidas alcohólicas, Whiskería, Cervecería, Casa de comidas, Rotisería"", para el inmueble sito en la calle Chivilcoy Nº 3451, Planta Baja y 1° Piso, con una superficie a habilitar de 236,04m², y CONSIDERANDO: Que el inmueble en cuestión, se encuentra localizado en un Distrito R1bI del Código de Planeamiento Urbano; Que el Área Técnica competente de esta Dirección General, a través del Informe Nº 23758210-DGIUR-2017, en virtud de lo solicitado, y la normativa vigente, informa que: a. El Parágrafo 5.4.1.2 Distrito R1b, en su ítem a) R1bI; establece: Nº 5285 - 02/01/2018 Boletín Oficial de la Ciudad de Buenos Aires Página 281",0,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p449-s000-e004-h042bc583,train,2 01 2018,2018,20180102.pdf,"contribuyente del Régimen General de Convenio Multilateral bajo el N° 901-209306-0, CUIT 30-70906380-0, con domicilio fiscal sito en la calle Lavalle N° 643, PB, oficina ""B"", Comuna N° 1, con domicilio donde se llevó a cabo la fiscalización en la calle General José Avalos N° 1845, Piso 7°, Departamento A, Comuna N° 12, y con domicilio fiscal ante la AFIP en la calle Fray S. de Oro N° 2334, Comuna N° 14, todos de esta Ciudad, cuya actividad sujeta a tributo consiste en ""Servicios de Publicidad"" con respecto a los períodos fiscales 2012 (1° a 12° anticipos mensuales), 2013 (1° a 12° anticipos mensuales), 2014 (1° a 12° anticipos mensuales) y 2015 (1° a 1 2° anticipos mensuales). Artículo 2°.- Determinar de oficio sobre base presunta y con carácter parcial la materia imponible y el impuesto resultante de la contribuyente, por los períodos fiscales 2012 (1° a 12° anticipos mensuales), 2013 (1° a 12° anticipos mensuales), 2014 (1° a 12° anticipos mensuales) y 2015 (1° a 12° anticipos mensuales) en los montos que se detallan en el cuadro Anexo, que a todos sus efectos forma parte integrante de la presente Resolución. Artículo 3° Establecer que por los ingresos obtenidos respecto del rubro ""Servicios de Publicidad"", le corresponde tributar el impuesto que nos ocupa a la alícuota del 4% por la totalidad de los períodos fiscales ajustados conforme lo previsto en el artículo 51 inciso 8) de la Ley Tarifaria aplicable al año 2015 y disposiciones concordantes de años anteriores. Artículo 4°.- Mantener la extensión de la responsabilidad solidaria por el cumplimiento de las obligaciones tributarias de la contribuyente al Presidente del Directorio de la Sociedad, señor Roberto Oscar Flores, D.N.I. N° 21.954.045, con domicilio sito en la calle José Antonio Cabrera N° 5055, Planta Baja, departamento ""C"", de esta Ciudad y/o quien resulte responsable hasta la actualidad, en virtud de lo establecido en los artículos 11 incisos 4) y 5), 12 y 14 inciso 1) del Código Fiscal TO 2017 y concordantes con años anteriores.",0,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180102-p449-s002-e006-hf20115a7,train,2 01 2018,2018,20180102.pdf,"Artículo 3° Establecer que por los ingresos obtenidos respecto del rubro ""Servicios de Publicidad"", le corresponde tributar el impuesto que nos ocupa a la alícuota del 4% por la totalidad de los períodos fiscales ajustados conforme lo previsto en el artículo 51 inciso 8) de la Ley Tarifaria aplicable al año 2015 y disposiciones concordantes de años anteriores. Artículo 4°.- Mantener la extensión de la responsabilidad solidaria por el cumplimiento de las obligaciones tributarias de la contribuyente al Presidente del Directorio de la Sociedad, señor Roberto Oscar Flores, D.N.I. N° 21.954.045, con domicilio sito en la calle José Antonio Cabrera N° 5055, Planta Baja, departamento ""C"", de esta Ciudad y/o quien resulte responsable hasta la actualidad, en virtud de lo establecido en los artículos 11 incisos 4) y 5), 12 y 14 inciso 1) del Código Fiscal TO 2017 y concordantes con años anteriores. Artículo 5° Tener por constituido el domicilio de la contribuyente en la sede de la Administración Gubernamental de Ingresos Públicos, en mérito a lo dispuesto en l os Considerandos precedentes, y por válidamente notificada la presente y los subsiguientes actos administrativos que se dicten en consecuencia los días martes o v iernes, o el siguiente hábil si alguno fuere feriado, inmediato al de su suscripción, por los motivos expuestos en los considerandos de la presente. A rtículo 6°.- Intimar a la contribuyente, al Presidente del Directorio de la firma, señor Roberto Oscar Flores y/o a quien resulte responsable hasta la actualidad, para que dentro del término de quince (15) días de quedar notificada y firme la presente, ingresen la suma de pesos diecinueve millones ochocientos ochenta y seis mil novecientos ochenta y nueve con 48/100 ($19.886.989,48), que resultan adeudar, y que proviene de las diferencias emergentes de esta determinación, a la cual deberán sumarse los intereses establecidos en el artículo 76 del Código Fiscal T.O.",0,Juan,VERBO;KEYWORD,1,1,0,VERBO;KEYWORD
20180104-p309-s003-e007-hedacca15,train,4 01 2018,2018,20180104.pdf,"En caso de no ser posible, deberá cumplimentar tal requerimiento mediante locación u otro convenio, con un garaje ubicado a menos de 200 metros del establecimiento; 37) Cumplir con la Ley N° 4.428/2012 en relación a la implementación del techo o terraza verde; 38) Cumplir con los lineamientos establecidos en la Ley N° 4.237/2012 ""Sistema de Recolección de Aguas de Lluvia – Aguas Recuperadas""; 39) En caso que el proyecto en cuestión se vea modificado, dichos cambios deberán ser informados a este organismo; 40) Una vez finalizadas las obras, se deberá presentar una Auditoria Ambiental que manifieste el estricto cumplimiento de las condiciones establecidas para el proyecto en cuestión y cuyos resultados deberán ser presentados ante la Autoridad de Aplicación. La Auditoria deberá presentarse con las firmas del solicitante y el responsable técnico del proyecto; que reviste el carácter de declaración jurada. Etapa de operación: 41) Exhibir constancia de inscripción en el Registro de Generadores, Operadores y Transportistas de Residuos Peligrosos (Ley Nº 2.214 y Decreto Reglamentario Nº 2.020/07); y de que el transporte y tratamiento de los residuos peligrosos es efectuado por empresas habilitadas para tales fines; 42) Exhibir Certificado de Aptitud Ambiental como Generador de Residuos Patogénicos (Ley N° 154 y Decreto Reglamentario N° 706/05) y constancia de que el transporte y tratamiento de sus residuos patogénicos es efectuado por empresas habilitadas para tales fines. Artículo 4°.- Establécese que el cumplimiento de las condiciones fijadas en el Artículo que antecede no eximen al titular del proyecto del cumplimiento de toda norma que resulte de aplicación para el presente caso. Artículo 5°.- Establécese que el incumplimiento de las condiciones fijadas en el Artículo 3° y la comprobación de cualquier falsedad en la documentación y demás presentaciones exigidas, dará lugar a la aplicación de las sanciones previstas en la Ley N° 123.",0,Juan,VERBO;KEYWORD;NORMAR,1,1,1,VERBO;KEYWORD;NORMAR
