model,rank_test_ap,mean_test_ap,std_test_ap,mean_test_roc,std_test_roc,params
LR,1,0.9887158290171003,0.00401025777317166,0.9949442230587848,0.002027376449334369,{'clf__C': 5.0}
LR,2,0.9867312181475011,0.004127635662960027,0.9938942873713408,0.0022354892282664975,{'clf__C': 1.0}
LR,3,0.9814513368524708,0.005155392590671662,0.9911292784559631,0.0030247461937671022,{'clf__C': 0.2}
NB,1,0.9793915240567859,0.0060185365176628714,0.9904973703653692,0.003067075374037792,{'clf__alpha': 1.0}
NB,2,0.9782205723370462,0.007648734596053497,0.9910264154959624,0.0029707703476372026,{'clf__alpha': 0.5}
NB,3,0.9777479446961627,0.005285094088649103,0.9888116190657176,0.0032254220287944997,{'clf__alpha': 2.0}
RF,1,0.9781862918487476,0.00668140184092028,0.9903515785178882,0.003457692156537006,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1}"
RF,2,0.9781601056804698,0.006813049935908614,0.9903175681478086,0.003521187545587644,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1}"
RF,3,0.9760629625026741,0.00820645595872671,0.9887265252344154,0.004682326856086515,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5}"
RF,4,0.9760483622487435,0.008138434423980304,0.9887179632240553,0.004646451239327347,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 5}"
RF,5,0.9591574021880515,0.015836711964592687,0.9824309459553071,0.005365661247055716,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1}"
RF,6,0.959145015505548,0.01605468805565255,0.9823841095462129,0.0053899584817348,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 1}"
RF,7,0.9567830234544038,0.017775992578556124,0.9812445019330859,0.006386760633614737,"{'clf__max_depth': None, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5}"
RF,7,0.9567830234544038,0.017775992578556124,0.9812445019330859,0.006386760633614737,"{'clf__max_depth': 20, 'clf__max_features': 0.5, 'clf__min_samples_leaf': 5}"
SVM,1,0.9893460088646284,0.0036681363158451883,0.9952428408767899,0.0018108437110125645,{'clf__C': 0.5}
SVM,2,0.9892013401470511,0.0038575873683494226,0.995187357574707,0.0018490052038771193,{'clf__C': 1.0}
SVM,3,0.9885973847826875,0.004282428700949611,0.9949612112672991,0.0019279801707523985,{'clf__C': 2.0}
